name,gender,age,city,department,salary,email
tariq,male,47.0,karachi,sales,123609.72,tariq76@gmail.com
hina,female,26.0,quetta,hr,125683.94,hina90@gmail.com
usman,male,36.0,lahore,sales,,usman71@gmail.com
sana,female,21.0,quetta,finance,147901.41,sana72@gmail.com
ayesha,male,40.0,lahore,hr,123880.8,ayesha25@gmail.com
ahmed,male,,quetta,finance,50115.7,ahmed33@gmail.com
bilal,female,60.0,peshawar,finance,32984.18,bilal93@gmail.com
ahmed,female,,quetta,it,,ahmed89@gmail.com
usman,male,,quetta,sales,,usman35@gmail.com
sara,female,,islamabad,finance,127273.37,sara73@gmail.com
ahmed,female,,karachi,finance,125917.01,ahmed48@gmail.com
ahmed,male,,quetta,finance,43153.97,ahmed44@gmail.com
sana,male,49.0,karachi,sales,128192.85,sana54@gmail.com
ali,female,,peshawar,hr,133554.55,ali88@gmail.com
usman,female,,islamabad,marketing,39515.87,usman3@gmail.com
ahmed,female,,quetta,sales,,ahmed40@gmail.com
usman,female,,lahore,it,132153.37,usman15@gmail.com
bilal,male,,quetta,it,149944.07,bilal71@gmail.com
sara,female,,karachi,hr,,sara96@gmail.com
tariq,male,,lahore,hr,,tariq17@gmail.com
ali,male,54.0,quetta,hr,,ali73@gmail.com
ayesha,female,,lahore,finance,,ayesha7@gmail.com
sana,female,,quetta,it,,sana3@gmail.com
sara,female,34.0,peshawar,it,,sara9@gmail.com
sana,female,,lahore,it,,sana36@gmail.com
zara,female,,peshawar,marketing,,zara40@gmail.com
usman,female,,quetta,finance,,usman14@gmail.com
sana,male,53.0,peshawar,finance,,sana94@gmail.com
hina,female,58.0,quetta,it,109092.38,hina73@gmail.com
sara,female,45.0,peshawar,marketing,,sara51@gmail.com
ayesha,male,50.0,lahore,marketing,,ayesha35@gmail.com
ali,male,24.0,islamabad,marketing,59340.53,ali86@gmail.com
hina,female,,quetta,finance,54971.54,hina77@gamil.com
sara,female,,peshawar,marketing,,sara4@gmail.com
usman,male,45.0,peshawar,marketing,71939.36,usman65@gmail.com
bilal,male,,islamabad,it,,bilal69@gmail.com
ahmed,male,32.0,islamabad,hr,,ahmed90@gmail.com
sara,female,43.0,lahore,finance,83049.62,sara72@gmail.com
ayesha,male,,islamabad,sales,,ayesha36@gmail.com
zara,female,,karachi,finance,88258.81,zara4@gmail.com
ahmed,female,48.0,islamabad,hr,53055.34,ahmed98@gmail.com
bilal,male,,islamabad,marketing,,bilal64@gmail.com
ayesha,male,,lahore,marketing,134139.86,ayesha95@gmail.com
hina,male,,peshawar,it,131828.08,hina15@gmail.com
ahmed,male,,karachi,sales,,ahmed32@gmail.com
tariq,female,,karachi,sales,,tariq79@gamil.com
zara,male,36.0,peshawar,hr,117385.43,zara70@gmail.com
bilal,female,,lahore,it,,bilal55@gmail.com
ayesha,female,56.0,karachi,it,53253.65,ayesha88@gmail.com
ahmed,male,20.0,karachi,hr,,ahmed7@gmail.com
zara,female,28.0,peshawar,sales,,zara39@gmail.com
zara,female,27.0,islamabad,hr,,zara16@gamil.com
ayesha,male,54.0,peshawar,hr,,ayesha95@gmail.com
ahmed,female,57.0,lahore,it,,ahmed80@gmail.com
hina,male,44.0,islamabad,marketing,123746.89,hina81@gmail.com
tariq,female,24.0,islamabad,it,,tariq90@gmail.com
sana,female,,karachi,hr,,sana35@gmail.com
sana,female,53.0,islamabad,finance,,sana51@gmail.com
zara,female,31.0,quetta,it,127555.58,zara38@gmail.com
zara,male,,quetta,hr,,zara34@gmail.com
sana,male,45.0,peshawar,marketing,145705.21,sana13@gmail.com
ayesha,male,44.0,quetta,it,133190.88,ayesha68@gmail.com
ahmed,male,38.0,islamabad,hr,123954.79,ahmed44@gmail.com
zara,female,58.0,lahore,hr,,zara64@gmail.com
hina,female,,karachi,sales,,hina58@gmail.com
zara,male,,peshawar,hr,77875.5,zara24@gmail.com
ahmed,male,,quetta,sales,,ahmed22@gmail.com
sana,male,,islamabad,hr,,sana10@gmail.com
bilal,female,57.0,karachi,hr,76401.87,bilal59@gmail.com
